2024-09-26 22:29:57 +0800	update bp and usd	5	5
2024-09-26 22:13:04 +0800	update usd concerned funcs	24	7
2024-09-26 20:36:50 +0800	add ethPriceModule	123	6
2024-09-25 17:43:14 +0800	correct errors in Licnese page and update financial statement item names	31	34
2024-09-25 16:20:24 +0800	upload License page	360	3
2024-09-18 14:23:43 +0800	update NewUserAward func	1	1
2024-09-18 13:58:53 +0800	update financial statement  with detailed records interfaces	59	13
2024-09-17 23:38:50 +0800	update cbp paid out into deferred revenue	20	3
2024-09-17 19:09:45 +0800	upate format of financial statement	27	35
2024-09-17 18:32:08 +0800	update financial statement with FT records	315	32
2024-09-17 14:43:57 +0800	update newUserReward and deferred assets into financial statement	244	111
2024-09-16 20:45:29 +0800	add boox reg history module	258	0
2024-09-15 23:53:30 +0800	add targetBook setting funcs in Registers	269	166
2024-09-15 09:14:57 +0800	update docLists func	54	7
2024-09-14 22:27:37 +0800	update the title of typeOfFlow	2	2
2024-09-14 22:15:10 +0800	uniform modules of bmm execActions	111	108
2024-09-12 21:31:41 +0800	update DocList concerned module	54	43
2024-09-12 19:40:38 +0800	update TempList and ETH unit of frontpage	9	6
2024-09-12 11:09:38 +0800	remove block for checking RC owner in create/act motions	1	32
2024-09-12 08:22:47 +0800	convert initContri into Eth	7	7
2024-09-12 08:12:05 +0800	separate initContri and armotization	14	10
2024-09-12 00:55:56 +0800	update owner qualification	31	9
2024-09-12 00:37:32 +0800	add consoleLog to check userNo	5	1
2024-09-11 23:26:19 +0800	move initContr and armotization into useEffect	20	9
2024-09-11 22:38:53 +0800	update isComBoox component	41	51
2024-09-11 22:28:26 +0800	update isComBoox concerned funcs	245	268
2024-09-11 19:52:21 +0800	correct errors of compile	8	8
2024-09-11 17:52:11 +0800	upgrade finStatement and loo modules	2484	1705
2024-09-06 09:22:07 +0800	let Expense comp get addr inside	4	5
2024-09-06 09:06:14 +0800	revise Expense comp	16	10
2024-09-06 08:13:49 +0800	fixed zero error	1	1
2024-09-06 01:16:21 +0800	update error of divide zero	3	1
2024-09-06 00:59:24 +0800	update fianncial statement	353	340
2024-09-05 13:56:49 +0800	correct errors concerning GeneralKeeper_5	28	28
2024-09-05 09:25:41 +0800	update draftControl concerned funcs	23	23
2024-09-05 08:32:18 +0800	add SetNewGK panel into ConfigSetting Module	127	1
2024-09-03 21:38:16 +0800	update LOO mudules	1304	632
2024-08-28 00:57:17 +0800	add left and right blocks	58	10
2024-08-27 23:21:31 +0800	update DealsList module	7	10
2024-08-27 19:53:31 +0800	add BuyOrders panel into LOO	388	19
2024-08-27 11:22:17 +0800	exclude mint income from Revenue	2	2
2024-08-22 19:38:37 +0800	remove unused modules	0	704
2024-08-22 12:19:56 +0800	revise GK and Boox setting to avoid info remainning	7	2
2024-08-22 10:43:26 +0800	identify mint income from regular Revenue	3	3
2024-08-22 02:09:02 +0800	update Revenue logs calculation module	7	3
2024-08-21 14:41:30 +0800	add CreateCorpSeal into DocsSetting Module	84	5
2024-08-21 13:24:02 +0800	add CreateCorpSeal module into App	80	1
2024-08-21 12:59:40 +0800	correct setCompInfo error of bytes19	1	1
2024-08-20 11:28:16 +0800	change tag of sign up	1	1
2024-08-15 14:54:28 +0800	update Certificate of Contribution	42	16
2024-08-01 18:47:36 +0800	Update Motion VoteCounting funcs	23	17
